id,PartyName,VoteCount
205,Republican,240
220,Republican,237
505,Republican,351
6805,Republican,224
7780,Republican,351
150,Republican,477
205,Republican,475
220,Republican,487
505,Republican,609
6805,Republican,466
7780,Republican,611
150,Republican,382
205,Republican,380
220,Republican,397
505,Republican,585
6805,Republican,366
7780,Republican,578
150,Republican,234
205,Republican,238
220,Republican,255
505,Republican,442
6805,Republican,240
7780,Republican,442
150,Republican,152
205,Republican,156
220,Republican,147
505,Republican,179
7760,Republican,174
150,Republican,199
205,Republican,200
220,Republican,207
475,Republican,220
7760,Republican,237
150,Republican,90
205,Republican,89
220,Republican,95
475,Republican,116
7760,Republican,130
150,Republican,173
205,Republican,177
220,Republican,192
475,Republican,209
7760,Republican,223
150,Republican,157
205,Republican,145
220,Republican,139
475,Republican,171
7760,Republican,187
150,Republican,618
205,Republican,609
220,Republican,647
505,Republican,758
7760,Republican,743
150,Republican,295
205,Republican,302
220,Republican,316
475,Republican,68
505,Republican,292
6805,Republican,288
7780,Republican,384
150,Republican,538
205,Republican,528
220,Republican,531
505,Republican,684
7760,Republican,677
150,Republican,251
205,Republican,254
220,Republican,257
505,Republican,281
6805,Republican,240
7780,Republican,280
150,Republican,670
205,Republican,675
220,Republican,709
505,Republican,835
7760,Republican,819
150,Republican,795
205,Republican,842
220,Republican,872
505,Republican,1054
7760,Republican,1033
150,Republican,536
205,Republican,593
220,Republican,597
505,Republican,702
7760,Republican,684
150,Republican,588
205,Republican,621
220,Republican,628
475,Republican,721
7760,Republican,832
150,Republican,381
205,Republican,480
220,Republican,502
475,Republican,545
7760,Republican,722
150,Republican,497
205,Republican,549
220,Republican,542
475,Republican,627
7760,Republican,710
150,Republican,118
205,Republican,150
220,Republican,152
475,Republican,153
6805,Republican,141
7760,Republican,10
7780,Republican,191
150,Republican,448
205,Republican,453
220,Republican,477
475,Republican,534
6805,Republican,437
7780,Republican,671
150,Republican,335
205,Republican,347
220,Republican,363
475,Republican,415
6805,Republican,341
7780,Republican,4
150,Republican,349
205,Republican,374
220,Republican,395
475,Republican,465
6805,Republican,364
7780,Republican,24
5010,Green,3
5035,Green,6
5055,Green,5
5010,Green,8
5035,Green,18
5055,Green,17
5010,Green,2
5035,Green,3
5055,Green,1
5010,Green,3
5035,Green,5
5055,Green,6
5010,Green,11
5035,Green,20
5055,Green,27
5010,Green,18
5035,Green,16
5055,Green,20
5010,Green,22
5035,Green,43
5055,Green,46
5010,Green,22
5035,Green,18
5055,Green,23
5010,Green,18
5035,Green,22
5055,Green,31
5010,Green,6
5035,Green,14
5055,Green,9
5010,Green,19
5035,Green,19
5055,Green,25
5010,Green,32
5035,Green,35
5055,Green,33
5010,Green,18
5035,Green,22
5055,Green,34
5010,Green,39
5035,Green,51
5055,Green,55
5010,Green,36
5035,Green,56
5055,Green,53
5010,Green,30
5035,Green,38
5055,Green,40
5010,Green,28
5035,Green,40
5055,Green,43
5010,Green,18
5035,Green,25
5055,Green,19
5010,Green,15
5035,Green,24
5055,Green,20
5010,Green,41
5035,Green,48
5055,Green,49
5010,Green,27
5035,Green,30
5055,Green,38
5010,Green,37
5035,Green,37
5055,Green,40
5010,Green,11
5035,Green,11
5055,Green,29
5010,Green,22
5035,Green,31
5055,Green,28
5010,Green,14
5035,Green,13
5055,Green,15
5010,Green,27
5035,Green,33
5055,Green,43
5010,Green,16
5035,Green,20
5055,Green,15
5010,Green,32
5035,Green,32
5055,Green,41
5010,Green,8
5035,Green,8
5055,Green,18
5010,Green,15
5035,Green,13
5055,Green,19
5010,Green,4
5035,Green,5
5055,Green,5
5010,Green,18
5035,Green,15
5055,Green,9
5010,Green,12
5035,Green,16
5055,Green,22
5010,Green,24
5035,Green,17
5055,Green,26
5010,Green,25
5035,Green,26
5055,Green,31
5010,Green,9
5035,Green,4
5055,Green,15
5010,Green,10
5035,Green,6
5055,Green,14
5010,Green,6
5035,Green,12
5055,Green,9
5010,Green,11
5035,Green,24
5055,Green,22
5010,Green,12
5035,Green,17
5055,Green,17
5010,Green,18
5035,Green,23
5055,Green,18
5010,Green,22
5035,Green,21
5055,Green,22
5010,Green,29
5035,Green,27
5055,Green,37
5010,Green,31
5035,Green,28
5055,Green,28
5010,Green,10
5035,Green,25
5055,Green,27
5010,Green,25
5035,Green,22
5055,Green,28
5010,Green,16
5035,Green,23
5055,Green,23
5010,Green,17
5035,Green,20
5055,Green,21
5010,Green,5
5035,Green,5
5055,Green,4
5010,Green,4
5035,Green,10
5055,Green,4
5010,Green,3
5035,Green,4
5055,Green,7
5010,Green,2
5035,Green,7
5055,Green,5
5010,Green,1
5035,Green,1
5055,Green,0
5010,Green,19
5035,Green,24
5055,Green,18
5010,Green,17
5035,Green,16
5055,Green,18
5010,Green,16
5035,Green,14
5055,Green,20
5010,Green,29
5035,Green,37
5055,Green,32
5010,Green,10
5035,Green,18
5055,Green,23
5010,Green,20
5035,Green,20
5055,Green,22
5010,Green,35
5035,Green,29
5055,Green,30
5010,Green,48
5035,Green,47
5055,Green,60
5010,Green,27
5035,Green,28
5055,Green,38
5010,Green,28
5035,Green,17
5055,Green,26
5010,Green,12
5035,Green,8
5055,Green,12
5010,Green,59
5035,Green,47
5055,Green,73
5010,Green,26
5035,Green,14
5055,Green,25
5010,Green,16
5035,Green,14
5055,Green,28
5010,Green,11
5035,Green,8
5055,Green,18
5010,Green,18
5035,Green,18
5055,Green,27
5010,Green,11
5035,Green,28
5055,Green,30
5010,Green,21
5035,Green,31
5055,Green,32
5010,Green,26
5035,Green,48
5055,Green,48
5010,Green,17
5035,Green,16
5055,Green,32
5010,Green,14
5035,Green,18
5055,Green,18
5010,Green,21
5035,Green,18
5055,Green,29
5010,Green,27
5035,Green,19
5055,Green,24
5010,Green,1
5035,Green,5
5055,Green,2
5010,Green,2
5035,Green,10
5055,Green,10
5010,Green,8
5035,Green,11
5055,Green,11
5010,Green,1
5035,Green,3
5055,Green,3
5010,Green,3
5035,Green,9
5055,Green,4
5010,Green,9
5035,Green,12
5055,Green,14
5010,Green,15
5035,Green,20
5055,Green,17
5010,Green,15
5035,Green,18
5055,Green,24
5010,Green,3
5035,Green,9
5055,Green,8
5010,Green,18
5035,Green,24
5055,Green,28
5010,Green,8
5035,Green,27
5055,Green,26
5010,Green,20
5035,Green,25
5055,Green,30
5010,Green,10
5035,Green,9
5055,Green,13
5010,Green,3
5035,Green,11
5055,Green,5
5010,Green,0
5035,Green,3
5055,Green,3
5010,Green,6
5035,Green,14
5055,Green,14
5010,Green,7
5035,Green,14
5055,Green,17
5010,Green,6
5035,Green,17
5055,Green,8
5010,Green,11
5035,Green,23
5055,Green,14
5010,Green,4
5035,Green,10
5055,Green,10
5010,Green,8
5035,Green,24
5055,Green,20
5010,Green,10
5035,Green,22
5055,Green,15
5010,Green,22
5035,Green,23
5055,Green,17
5010,Green,1
5035,Green,3
5055,Green,5
